#rho	 Pc
 1.203761003852278E-05 -4.769287021497584E-03
 1.216305081813094E-05 -4.845976651285737E-03
 1.228979878323010E-05 -4.928677621340336E-03
 1.241786755565773E-05 -5.016116501454885E-03
 1.254727089920080E-05 -5.106764490796719E-03
 1.267802272107521E-05 -5.199021386630938E-03
 1.281013707342028E-05 -5.291851646818052E-03
 1.294362815480892E-05 -5.384721293937089E-03
 1.307851031177374E-05 -5.477058080241961E-03
 1.321479804034880E-05 -5.568212614447029E-03
 1.335250598762744E-05 -5.657434085472098E-03
 1.349164895333661E-05 -5.743883510451460E-03
 1.363224189142735E-05 -5.826639482862879E-03
 1.377429991168180E-05 -5.904642139244089E-03
 1.391783828133727E-05 -5.976737835792867E-03
 1.406287242672697E-05 -6.041597439473655E-03
 1.420941793493776E-05 -6.097934133078483E-03
 1.435749055548557E-05 -6.145461937659115E-03
 1.450710620200787E-05 -6.184901308561820E-03
 1.465828095397399E-05 -6.217296658354819E-03
 1.481103105841313E-05 -6.243853455658239E-03
 1.496537293166058E-05 -6.266033248450613E-03
 1.512132316112200E-05 -6.285556853147703E-03
 1.527889850705593E-05 -6.304393812533807E-03
 1.543811590437529E-05 -6.324866512956533E-03
 1.559899246446729E-05 -6.349633142248058E-03
 1.576154547703228E-05 -6.381771792838957E-03
 1.592579241194221E-05 -6.424511054629150E-03
 1.609175092111795E-05 -6.479433008058479E-03
 1.625943884042631E-05 -6.546047731334693E-03
 1.642887419159710E-05 -6.623267396916436E-03
 1.660007518415988E-05 -6.709853094270137E-03
 1.677306021740080E-05 -6.804322594399948E-03
 1.694784788234026E-05 -6.904872762493868E-03
 1.712445696373086E-05 -7.009394915427992E-03
 1.730290644207601E-05 -7.115416606719945E-03
 1.748321549567012E-05 -7.220089748490029E-03
 1.766540350265958E-05 -7.320063653512284E-03
 1.784949004312523E-05 -7.411664093754869E-03
 1.803549490118694E-05 -7.492804514614214E-03
 1.822343806712970E-05 -7.563623237430855E-03
 1.841333973955190E-05 -7.624975098704830E-03
 1.860522032753635E-05 -7.677814211124913E-03
 1.879910045284352E-05 -7.723308166807326E-03
 1.899500095212790E-05 -7.762920769405912E-03
 1.919294287917715E-05 -7.798322281226090E-03
 1.939294750717508E-05 -7.831493653996661E-03
 1.959503633098774E-05 -7.864759177141415E-03
 1.979923106947347E-05 -7.900793653818046E-03
 2.000555366781721E-05 -7.942654544338960E-03
 2.021402629988898E-05 -7.992454965209013E-03
 2.042467137062671E-05 -8.050583554476649E-03
 2.063751151844448E-05 -8.116860003617056E-03
 2.085256961766533E-05 -8.191114713420281E-03
 2.106986878097950E-05 -8.273025991064451E-03
 2.128943236192866E-05 -8.362181601712666E-03
 2.151128395741562E-05 -8.458097875315764E-03
 2.173544741024016E-05 -8.560117066974470E-03
 2.196194681166181E-05 -8.667414253656820E-03
